Problem,Time,Correctness,System
pb1_1, 0.0032541,1.0,2
pb1_2, 0.0211222,1.0,2
pb1_3, 1.73266,1.0,2
pb1_4, 0.43542,1.0,2
pb1_5, 0.54041,1.0,2
pb1_6, 42.5682,1.0,2
pb1_7, 38.4823,1.0,2
pb1_8, 52.4589,1.0,2
pb1_9, 7.7094,1.0,2
pb1_10, 37.8802,1.0,2
pb2_1, 0.0017035,1.0,2
pb2_2, 0.0068765,1.0,2
pb2_3, 0.0564322,1.0,2
pb2_4, 0.0294423,1.0,2
pb2_5, 0.0660875,1.0,2
pb2_6, 0.0286108,1.0,2
pb2_7, 0.0292838,1.0,2
pb2_8, -1,-1,-1
pb2_9, 0.0124726,1.0,2
pb2_10, 0.0290442,1.0,2
pb3_1, 0.0152004,1.0,2
pb3_2, 0.0874151,1.0,2
pb3_3, 1.83372,1.0,2
pb3_4, 0.153464,1.0,2
pb3_5, 0.615638,1.0,2
pb3_6, 14.0686,1.0,2
pb3_7, 14.1638,1.0,2
pb3_8, -1,-1,-1
pb3_9, 0.679967,1.0,2
pb3_10, 8.48403,1.0,2
pb4_1, 0.0044606,1.0,2
pb4_2, 0.0101253,1.0,2
pb4_3, 0.0680145,1.0,2
pb4_4, 0.0184834,1.0,2
pb4_5, 0.0742427,1.0,2
pb4_6, 0.0182821,1.0,2
pb4_7, 0.0178269,1.0,2
pb4_8, -1,-1,-1
pb4_9, 0.0023937,1.0,2
pb4_10, 0.0117645,1.0,2
pb5_1, 0.0094056,1.0,2
pb5_2, 0.0618536,1.0,2
pb5_3, 6.98021,1.0,2
pb5_4, 1.60155,1.0,2
pb5_5, 0.310113,1.0,2
pb5_6, 33.5473,1.0,2
pb5_7, 33.4481,1.0,2
pb5_8, 35.6594,1.0,2
pb5_9, 6.80843,1.0,2
pb5_10, 33.42,1.0,2
pb6_1, 0.0124526,1.0,2
pb6_2, 0.0648255,1.0,2
pb6_3, 0.996762,1.0,2
pb6_4, 0.221212,1.0,2
pb6_5, 0.226538,1.0,2
pb6_6, 4.76564,1.0,2
pb6_7, 4.73338,1.0,2
pb6_8, 5.09309,1.0,2
pb6_9, 1.08128,1.0,2
pb6_10, 4.73232,1.0,2
pb7_1, 0.0082156,1.0,2
pb7_2, 0.0987806,1.0,2
pb7_3, 72.3428,1.0,2
pb7_4, 8.0282,1.0,2
pb7_5, 8.7764,1.0,2
pb7_6, -1,-1,-1
pb7_7, -1,-1,-1
pb7_8, -1,-1,-1
pb7_9, -1,-1,-1
pb7_10, -1,-1,-1
pb8_1, 0.308143,1.0,2
pb8_2, 34.2522,1.0,2
pb8_3, -1,-1,-1
pb8_4, -1,-1,-1
pb8_5, -1,-1,-1
pb8_6, 83.93,1.0,2
pb8_7, -1,-1,-1
pb8_8, -1,-1,-1
pb8_9, 32.7656,1.0,2
pb8_10, -1,-1,-1
pb9_1, 0.640137,1.0,2
pb9_2, 5.51913,1.0,2
pb9_3, -1,-1,-1
pb9_4, -1,-1,-1
pb9_5, -1,-1,-1
pb9_6, -1,-1,-1
pb9_7, -1,-1,-1
pb9_8, -1,-1,-1
pb9_9, 37.293,1.0,2
pb9_10, -1,-1,-1
pb10_1, 1.30562,1.0,2
pb10_2, -1,-1,-1
pb10_3, 63.8863,1.0,2
pb10_4, 75.5241,1.0,2
pb10_5, 81.1075,1.0,2
pb10_6, 75.3202,1.0,2
pb10_7, 10.5682,1.0,2
pb10_8, 1.65104,1.0,2
pb10_9, 0.187674,1.0,2
pb10_10, 63.5243,1.0,2
pb11_1, 0.049354,1.0,2
pb11_2, 49.9497,1.0,2
pb11_3, -1,-1,-1
pb11_4, -1,-1,-1
pb11_5, 5.23282,1.0,2
pb11_6, -1,-1,-1
pb11_7, -1,-1,-1
pb11_8, -1,-1,-1
pb11_9, -1,-1,-1
pb11_10, -1,-1,-1
pb12_1, 0.044587,1.0,2
pb12_2, 0.53254,1.0,2
pb12_3, 47.88,1.0,2
pb12_4, 5.04401,1.0,2
pb12_5, 5.85692,1.0,2
pb12_6, -1,-1,-1
pb12_7, -1,-1,-1
pb12_8, -1,-1,-1
pb12_9, 47.6979,1.0,2
pb12_10, -1,-1,-1
pb13_1, 0.0210663,1.0,2
pb13_2, 0.115638,1.0,2
pb13_3, 2.47631,1.0,2
pb13_4, 2.46454,1.0,2
pb13_5, 2.485,1.0,2
pb13_6, -1,-1,-1
pb13_7, -1,-1,-1
pb13_8, -1,-1,-1
pb13_9, -1,-1,-1
pb13_10, -1,-1,-1
pb14_1, 0.0054856,1.0,2
pb14_2, 0.015834,1.0,2
pb14_3, 0.0949324,1.0,2
pb14_4, 0.095546,1.0,2
pb14_5, 0.0942171,1.0,2
pb14_6, 0.172341,1.0,2
pb14_7, 0.172906,1.0,2
pb14_8, -1,-1,-1
pb14_9, 0.0662342,1.0,2
pb14_10, 0.172281,1.0,2
pb15_1, 0.403896,1.0,2
pb15_2, 1.88699,1.0,2
pb15_3, 3.4747,1.0,2
pb15_4, 0.814787,1.0,2
pb15_5, 13.6126,1.0,2
pb15_6, -1,-1,-1
pb15_7, -1,-1,-1
pb15_8, -1,-1,-1
pb15_9, 13.6419,1.0,2
pb15_10, 43.5867,1.0,2
pb16_1, 0.0212615,1.0,2
pb16_2, 0.0621363,1.0,2
pb16_3, 0.128503,1.0,2
pb16_4, 0.0455996,1.0,2
pb16_5, 0.132047,1.0,2
pb16_6, 0.0447289,1.0,2
pb16_7, 0.0448539,1.0,2
pb16_8, -1,-1,-1
pb16_9, 0.006566,1.0,2
pb16_10, 0.0672483,1.0,2
pb17_1, 0.0614338,1.0,2
pb17_2, 0.331222,1.0,2
pb17_3, 8.07698,1.0,2
pb17_4, 8.11326,1.0,2
pb17_5, 1.74725,1.0,2
pb17_6, -1,-1,-1
pb17_7, -1,-1,-1
pb17_8, -1,-1,-1
pb17_9, -1,-1,-1
pb17_10, -1,-1,-1
pb18_1, 0.0652683,1.0,2
pb18_2, 0.249918,1.0,2
pb18_3, 1.11037,1.0,2
pb18_4, 1.11292,1.0,2
pb18_5, 1.2087,1.0,2
pb18_6, 22.9537,1.0,2
pb18_7, 22.9467,1.0,2
pb18_8, 23.8164,1.0,2
pb18_9, -1,-1,-1
pb18_10, 22.7554,1.0,2
pb19_1, 0.0989945,1.0,2
pb19_2, 1.05846,1.0,2
pb19_3, -1,-1,-1
pb19_4, -1,-1,-1
pb19_5, -1,-1,-1
pb19_6, -1,-1,-1
pb19_7, -1,-1,-1
pb19_8, -1,-1,-1
pb19_9, -1,-1,-1
pb19_10, -1,-1,-1
pb20_1, 33.4401,1.0,2
pb20_2, -1,-1,-1
pb20_3, -1,-1,-1
pb20_4, -1,-1,-1
pb20_5, -1,-1,-1
pb20_6, -1,-1,-1
pb20_7, -1,-1,-1
pb20_8, -1,-1,-1
pb20_9, -1,-1,-1
pb20_10, -1,-1,-1
pb21_1, 43.6919,1.0,2
pb21_2, 49.2494,1.0,2
pb21_3, -1,-1,-1
pb21_4, -1,-1,-1
pb21_5, -1,-1,-1
pb21_6, -1,-1,-1
pb21_7, -1,-1,-1
pb21_8, -1,-1,-1
pb21_9, -1,-1,-1
pb21_10, -1,-1,-1
pb22_1, -1,-1,-1
pb22_2, -1,-1,-1
pb22_3, 80.3979,1.0,2
pb22_4, 80.5042,1.0,2
pb22_5, 80.7823,1.0,2
pb22_6, -1,-1,-1
pb22_7, -1,-1,-1
pb22_8, 11.2259,1.0,2
pb22_9, 10.6324,1.0,2
pb22_10, -1,-1,-1
pb23_1, 0.652195,1.0,2
pb23_2, 51.0944,1.0,2
pb23_3, -1,-1,-1
pb23_4, -1,-1,-1
pb23_5, 50.8056,1.0,2
pb23_6, -1,-1,-1
pb23_7, -1,-1,-1
pb23_8, -1,-1,-1
pb23_9, -1,-1,-1
pb23_10, -1,-1,-1
pb24_1, 0.640862,1.0,2
pb24_2, 5.50609,1.0,2
pb24_3, 50.412,1.0,2
pb24_4, 50.1703,1.0,2
pb24_5, 50.1351,1.0,2
pb24_6, -1,-1,-1
pb24_7, -1,-1,-1
pb24_8, -1,-1,-1
pb24_9, -1,-1,-1
pb24_10, -1,-1,-1
